ts,California,Florida,Hawaii,NewJersey,NewYork,Texas,Washington
2015-01-31,405000.0,225000.0,619000.0,285000.0,299000.0,226900.0,265000.0
2015-02-28,424900.0,230000.0,629000.0,289600.0,304000.0,234000.0,275000.0
2015-03-31,433880.0,229900.0,625000.0,296900.0,309990.0,239900.0,282999.5
2015-04-30,440000.0,229900.0,639192.0,299999.0,309900.0,245000.0,289950.0
2015-05-31,454900.0,234900.0,615000.0,300000.0,305000.0,245000.0,298000.0
2015-06-30,464000.0,235900.0,645000.0,309000.0,304000.0,245000.0,299500.0
2015-07-31,450000.0,237000.0,639750.0,319900.0,299000.0,247000.0,299000.0
2015-08-31,459900.0,244900.0,640000.0,309900.0,295000.0,249000.0,299500.0
2015-09-30,459900.0,249000.0,630000.0,300000.0,289000.0,249500.0,299000.0
2015-10-31,459995.0,249900.0,625000.0,299900.0,289500.0,249900.0,299000.0
2015-11-30,459500.0,251957.5,625000.0,299000.0,289000.0,249990.0,298000.0
2015-12-31,450000.0,252000.0,625000.0,285000.0,289000.0,255000.0,290975.0
2016-01-31,450000.0,254000.0,660000.0,279900.0,289999.0,253990.0,289900.0
2016-02-29,460000.0,259000.0,639000.0,284900.0,295400.0,245000.0,289950.0
2016-03-31,475000.0,260000.0,668000.0,298000.0,299000.0,250000.0,295000.0
2016-04-30,489000.0,267315.0,679000.0,305000.0,299900.0,253900.0,300000.0
2016-05-31,495000.0,265000.0,679000.0,314900.0,300000.0,256686.5,314600.0
2016-06-30,499000.0,265000.0,688888.0,315000.0,300000.0,259000.0,319950.0
2016-07-31,499000.0,265000.0,695000.0,310000.0,289900.0,258924.0,321970.0
2016-08-31,495000.0,260000.0,689000.0,299900.0,288600.0,255050.0,320000.0
2016-09-30,492800.0,265000.0,690000.0,299900.0,284000.0,254900.0,320000.0
2016-10-31,491900.0,267000.0,680000.0,299000.0,279900.0,259000.0,324500.0
2016-11-30,488800.0,269000.0,689250.0,289900.0,285000.0,250000.0,319980.0
2016-12-31,475000.0,269900.0,679000.0,279900.0,280000.0,250000.0,315000.0
2017-01-31,479000.0,275490.0,720000.0,276000.0,289999.5,250000.0,314900.0
2017-02-28,489000.0,279900.0,724660.0,279900.0,299000.0,256500.0,320000.0
2017-03-31,499900.0,282990.0,699999.0,295000.0,300000.0,264990.0,335000.0
2017-04-30,519000.0,289000.0,699900.0,302100.0,305000.0,269999.0,345000.0
2017-05-31,520000.0,289900.0,714950.0,312900.0,299900.0,274900.0,350000.0
2017-06-30,515000.0,289900.0,725000.0,315000.0,299000.0,275000.0,359900.0
2017-07-31,519000.0,289900.0,725000.0,314900.0,299000.0,274000.0,359950.0
2017-08-31,515000.0,289390.0,720500.0,300000.0,292900.0,270990.0,359000.0
2017-09-30,515000.0,290000.0,700000.0,299999.0,297995.0,269900.0,359950.0
2017-10-31,515000.0,289900.0,699000.0,299900.0,299000.0,269900.0,359900.0
2017-11-30,510000.0,293000.0,699000.0,295700.0,295000.0,269900.0,359000.0
2017-12-31,499900.0,295000.0,710000.0,284900.0,295000.0,269900.0,354000.0
